Original Hotel Name,Hotel Name,Geometry,restaurant,shopping_mall,tourist_attraction,cafe,bar,supermarket,park,point_of_interest,lodging,museum
Residence Inn Cincinnati Downtown/The Phelps,Residence Inn by Marriott Cincinnati Downtown/The Phelps,"{'lat': 39.1015192, 'lng': -84.50446010000002}",1,0,1,0,1,0,0,18,14,0
Extended Stay America Suites - Cincinnati - Blue Ash - Reagan Hwy.,Extended Stay America - Cincinnati - Blue Ash - Reagan Highway,"{'lat': 39.2282999, 'lng': -84.3921335}",1,0,0,0,1,0,0,18,5,0
Days Inn by Wyndham Cincinnati I-71,Days Inn by Wyndham Cincinnati I-71,"{'lat': 39.1691502, 'lng': -84.41926579999999}",2,0,0,0,0,1,0,18,2,0
"The Blu Hotel Blue Ash Cincinnati, Ascend Hotel Collection","The Blu Hotel, Blue Ash, OH","{'lat': 39.2742603, 'lng': -84.3758904}",0,0,0,0,0,0,0,18,9,0
Classy Studio Downtown Near Hard Rock Casino,No information found,N/A,0,0,0,0,0,0,0,0,0,0
MainStay Suites Cincinnati University - Uptown,MainStay Suites Cincinnati University - Uptown,"{'lat': 39.1246763, 'lng': -84.501984}",1,0,0,0,1,0,0,18,14,0
Hotel Covington Cincinnati Riverfront,Hotel Covington,"{'lat': 39.0833673, 'lng': -84.5100856}",2,1,2,0,1,0,0,18,12,0
Huge 2 Bedroom House in the Heart of Northside!,No information found,N/A,0,0,0,0,0,0,0,0,0,0
Wyndham Pittsburgh University Center,Wyndham Pittsburgh University Center,"{'lat': 40.4461088, 'lng': -79.9546865}",0,0,0,0,0,0,0,18,17,0
Wyndham Garden Pittsburgh Airport,Wyndham Garden Pittsburgh Airport,"{'lat': 40.4657565, 'lng': -80.19860659999999}",0,1,0,0,0,0,0,18,12,0
Drury Plaza Hotel Pittsburgh Downtown,Drury Plaza Hotel Pittsburgh Downtown,"{'lat': 40.4430493, 'lng': -79.99482760000001}",0,0,0,0,0,0,0,18,17,0
La Quinta Inn by Wyndham Pittsburgh Airport,La Quinta Inn by Wyndham Pittsburgh Airport,"{'lat': 40.5077212, 'lng': -80.2226218}",1,1,0,0,1,0,0,18,8,0
Red Roof PLUS+ Pittsburgh South - Airport,Red Roof PLUS+ Pittsburgh South - Airport,"{'lat': 40.4496889, 'lng': -80.15720560000001}",1,0,0,0,0,0,0,18,12,0
Kimpton Hotel Monaco Pittsburgh,Kimpton Hotel Monaco Pittsburgh,"{'lat': 40.44140429999999, 'lng': -79.9964178}",0,0,0,0,0,0,0,18,17,0
SpringHill Suites Pittsburgh Southside Works,SpringHill Suites by Marriott Pittsburgh Southside Works,"{'lat': 40.4267037, 'lng': -79.9620071}",0,0,0,0,0,0,0,18,17,0
Cambria Hotel Pittsburgh - Downtown,Cambria Hotel Pittsburgh - Downtown,"{'lat': 40.440152, 'lng': -79.98793169999999}",0,0,0,0,0,0,0,18,17,0
Drury Inn & Suites Pittsburgh Airport Settlers Ridge,Drury Inn & Suites Denver Central Park,"{'lat': 39.7788714, 'lng': -104.8815593}",3,1,0,0,0,0,0,18,8,0
Holiday Inn Express Pittsburgh West - Greentree,"Holiday Inn Express & Suites Pittsburgh West - Green Tree, an IHG Hotel","{'lat': 40.424557, 'lng': -80.041724}",2,0,0,0,0,0,0,18,14,0
"Joinery Hotel Pittsburgh, Curio Collection by Hilton","Joinery Hotel Pittsburgh, Curio Collection by Hilton","{'lat': 40.4374405, 'lng': -79.9989717}",0,0,0,0,0,0,0,18,17,0
Americas Best Value Inn Pittsburgh Airport,Americas Best Value Inn Pittsburgh Airport,"{'lat': 40.5050685, 'lng': -80.2237694}",1,1,0,0,1,0,0,18,8,0
Hyatt Regency Pittsburgh Intl Airport,Hyatt Regency Pittsburgh International Airport,"{'lat': 40.4968357, 'lng': -80.25983049999999}",2,1,0,0,1,0,0,18,8,0
"Motel 6-Pittsburgh, PA - Crafton","Motel 6 Pittsburgh, PA - Crafton","{'lat': 40.451279, 'lng': -80.1041481}",1,0,0,0,0,0,0,18,7,0
Fairmont Pittsburgh,Fairmont Pittsburgh,"{'lat': 40.4415866, 'lng': -80.00169530000001}",0,0,0,0,0,0,0,18,17,0
Hilton Garden Inn Pittsburgh University Place,Hilton Garden Inn Pittsburgh University Place,"{'lat': 40.4395111, 'lng': -79.9592383}",0,0,0,0,0,0,0,18,17,0
Extended Stay America Suites - Pittsburgh - Airport,Extended Stay America - Pittsburgh - Airport,"{'lat': 40.450258, 'lng': -80.184349}",1,1,0,0,0,0,0,18,9,0
Comfort Inn Conference Center,Comfort Inn Conference Center,"{'lat': 40.4431889, 'lng': -79.82638089999999}",2,1,1,0,1,0,0,18,4,0
Microtel Inn & Suites by Wyndham Pittsburgh Airport,Microtel by Wyndham Mall of Asia,"{'lat': 14.5305259, 'lng': 120.9802665}",2,1,0,0,0,0,0,18,16,0
Courtyard Pittsburgh Airport,Courtyard by Marriott Pittsburgh Airport,"{'lat': 40.498281, 'lng': -80.206713}",1,1,0,0,1,0,0,18,11,0
Comfort Inn & Suites Pittsburgh-Northshore,Comfort Hotel,"{'lat': 1.3086435, 'lng': 103.8549386}",2,0,0,0,0,0,0,18,17,0
The Maverick by Kasa,The Maverick by Kasa,"{'lat': 40.4612731, 'lng': -79.9264298}",1,0,1,0,1,1,0,18,4,0
Hotel Indigo Pittsburgh East Liberty,"Hotel Indigo Pittsburgh East Liberty, an IHG Hotel","{'lat': 40.4622582, 'lng': -79.92478179999999}",1,0,1,0,1,1,0,18,4,0
Kasa South Side Pittsburgh,Kasa South Side Pittsburgh,"{'lat': 40.42888629999999, 'lng': -79.967119}",0,0,0,0,0,0,0,18,17,0
SpringHill Suites Pittsburgh North Shore,SpringHill Suites by Marriott Pittsburgh North Shore,"{'lat': 40.4485871, 'lng': -80.00461729999999}",0,0,0,0,0,0,0,18,17,0
TRYP by Wyndham Pittsburgh/Lawrenceville,TRYP by Wyndham Pittsburgh/Lawrenceville Boutique Hotel,"{'lat': 40.4695202, 'lng': -79.9627999}",2,0,0,0,2,0,0,18,14,0
The Landing Hotel at Rivers Casino Pittsburgh,The Landing Hotel Pittsburgh,"{'lat': 40.4465264, 'lng': -80.02111959999999}",1,0,0,0,0,0,0,18,16,0
Quality Inn Pittsburgh Airport,Quality Inn Pittsburgh Airport,"{'lat': 40.4451393, 'lng': -80.17260139999999}",1,1,0,0,0,0,0,19,9,0
Comfort Suites Pittsburgh Airport,Comfort Suites Pittsburgh Airport,"{'lat': 40.4584902, 'lng': -80.1925254}",1,1,0,0,0,0,0,18,10,0
Mansions on Fifth,The Mansions On Fifth Luxury Hotel,"{'lat': 40.4479854, 'lng': -79.9383122}",2,0,0,0,2,1,0,18,8,0
Hyatt Place Pittsburgh North Shore,Hyatt Place Pittsburgh-North Shore,"{'lat': 40.4467314, 'lng': -80.00896519999999}",0,0,0,0,0,0,0,18,17,0
Days Inn by Wyndham Pittsburgh,Days Inn by Wyndham Pittsburgh,"{'lat': 40.4192313, 'lng': -80.03035009999999}",1,0,0,0,0,0,0,18,16,0
Residence Inn Pittsburgh Oakland/University Place,Residence Inn by Marriott Pittsburgh Oakland/University Place,"{'lat': 40.43817, 'lng': -79.9620853}",0,0,0,0,0,0,0,18,17,0
DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown,DoubleTree by Hilton Johor Bahru,"{'lat': 1.4653216, 'lng': 103.7600492}",1,0,0,1,1,0,0,18,18,0
Hotel Indigo Pittsburgh University-Oakland,"Hotel Indigo Pittsburgh University-Oakland, an IHG Hotel","{'lat': 40.4308917, 'lng': -79.9598961}",0,0,0,0,0,0,0,18,17,0
Holiday Inn Express Hotel & Suites Pittsburgh-South Side,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel","{'lat': 1.2891213, 'lng': 103.8419682}",3,3,1,1,0,0,0,18,10,0
Fairfield Inn & Suites by Marriott Pittsburgh Downtown,Fairfield by Marriott Chow Kit Kuala Lumpur,"{'lat': 3.1689227, 'lng': 101.6981122}",1,0,0,0,1,0,0,18,17,0
Sheraton Pittsburgh Airport Hotel,Sheraton Pittsburgh Airport Hotel,"{'lat': 40.5017946, 'lng': -80.20998709999999}",1,1,0,0,1,0,0,18,9,0
Homewood Suites by Hilton Pittsburgh Downtown,Homewood Suites by Hilton Pittsburgh Downtown,"{'lat': 40.44796849999999, 'lng': -79.9898819}",0,0,0,0,0,0,0,18,17,0
Embassy Suites by Hilton Pittsburgh Downtown,Embassy Suites by Hilton Pittsburgh Downtown,"{'lat': 40.4412336, 'lng': -79.9979943}",0,0,0,0,0,0,0,18,17,0
Extended Stay America Suites - Pittsburgh - Carnegie,Extended Stay America - Pittsburgh - Carnegie,"{'lat': 40.4173788, 'lng': -80.0884518}",1,0,0,0,1,0,0,18,6,0
Stay Pittsburgh,Stay Pittsburgh,"{'lat': 40.4372863, 'lng': -80.0002564}",0,0,0,0,0,0,0,18,17,0
InTown Suites Extended Stay Pittsburgh PA,InTown Suites Extended Stay Pittsburgh PA,"{'lat': 40.50521500000001, 'lng': -80.00960500000001}",0,0,0,0,0,0,0,18,1,0
Red Roof Inn Pittsburgh – McKnight Rd,Red Roof Inn Pittsburgh - McKnight Rd,"{'lat': 40.50569280000001, 'lng': -80.0088409}",0,1,0,0,0,0,0,18,1,0
Hampton Inn & Suites Pittsburgh Downtown,Hilton Garden Inn Singapore Serangoon,"{'lat': 1.3083868, 'lng': 103.8520416}",0,0,0,0,0,0,0,18,18,0
Comfort Inn & Suites,Comfort Hotel,"{'lat': 1.3086435, 'lng': 103.8549386}",2,0,0,0,0,0,0,18,17,0
Omni William Penn Hotel,Omni William Penn Hotel,"{'lat': 40.44071599999999, 'lng': -79.99687999999999}",0,0,0,0,0,0,0,18,17,0
Hilton Garden Inn Pittsburgh Downtown,Hilton Garden Inn Pittsburgh Downtown,"{'lat': 40.4402746, 'lng': -80.0015774}",0,0,0,0,0,0,0,18,17,0
DoubleTree by Hilton Pittsburgh Airport,DoubleTree by Hilton Hotel Pittsburgh Airport,"{'lat': 40.5090559, 'lng': -80.2242976}",1,1,0,0,1,0,0,18,8,0
Renaissance Pittsburgh Hotel,Renaissance Pittsburgh Hotel,"{'lat': 40.44382640000001, 'lng': -80.002211}",0,0,0,0,0,0,0,18,17,0
"The Oaklander Hotel, Autograph Collection","The Oaklander Hotel, Autograph Collection","{'lat': 40.4450511, 'lng': -79.95512769999999}",0,0,0,0,0,0,0,18,17,0
Econo Lodge Pittsburgh I-79,Econo Lodge Pittsburgh I-79,"{'lat': 40.449312, 'lng': -80.106053}",1,1,0,0,0,0,0,18,7,0
Comfort Inn & Suites,Comfort Hotel,"{'lat': 1.3086435, 'lng': 103.8549386}",2,0,0,0,0,0,0,18,17,0
Hilton Garden Inn Pittsburgh Airport South-Robinson Mall,Hilton Garden Inn Pittsburgh Airport South-Robinson Mall,"{'lat': 40.45019449999999, 'lng': -80.1666597}",1,1,0,0,0,0,0,18,9,0
Holiday Inn Express Hotel & Suites Pittsburgh Airport,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel","{'lat': 1.2891213, 'lng': 103.8419682}",3,3,1,1,0,0,0,18,10,0
Holiday Inn Express Hotel Pittsburgh-North/Harmarville,"Holiday Inn Express Pittsburgh-North (Harmarville), an IHG Hotel","{'lat': 40.540313, 'lng': -79.8269579}",1,0,1,0,1,0,0,18,5,0
Hyatt House Pittsburgh Bloomfield Shadyside,Hyatt House Pittsburgh/Bloomfield/Shadyside,"{'lat': 40.4570693, 'lng': -79.9391138}",1,0,1,0,1,1,0,18,8,0
Hampton Inn Pittsburgh/Greentree,Hampton Inn Pittsburgh/Greentree,"{'lat': 40.4193142, 'lng': -80.0537695}",3,0,3,0,2,0,0,18,5,1
The Westin Pittsburgh,The Westin Pittsburgh,"{'lat': 40.4440892, 'lng': -79.9950649}",0,0,0,0,0,0,0,18,17,0
AC Hotel Pittsburgh Downtown,AC Hotel by Marriott Pittsburgh Downtown,"{'lat': 40.4456927, 'lng': -79.993616}",0,0,0,0,0,0,0,18,17,0
Staybridge Suites Pittsburgh Airport,Staybridge Suites - Pittsburgh Airport,"{'lat': 40.4483119, 'lng': -80.17827439999999}",1,1,0,0,0,0,0,18,9,0
Point Breeze Guest House,Point Breeze Guest House,"{'lat': 40.4534283, 'lng': -79.90988550000002}",0,0,1,0,0,1,0,18,4,0
Homewood Suites by Hilton Pittsburgh Aprt/Robinson Mall Area,Homewood Suites by Hilton Pittsburgh Downtown,"{'lat': 40.44796849999999, 'lng': -79.9898819}",0,0,0,0,0,0,0,18,17,0
Super 8 By Wyndham Pittsburgh/Monroeville,Super 8 by Wyndham Pittsburgh/Monroeville,"{'lat': 40.4467048, 'lng': -79.71523119999999}",0,0,0,0,0,0,0,18,6,0
McKnight Hotel,Hampton Inn Pittsburgh-Mcknight Rd.,"{'lat': 40.5044715, 'lng': -80.0101284}",0,0,0,0,0,0,0,18,1,0
Fairfield Inn & Suites Pittsburgh Airport/Robinson Township,Fairfield by Marriott Chow Kit Kuala Lumpur,"{'lat': 3.1689227, 'lng': 101.6981122}",1,0,0,0,1,0,0,18,17,0
Hilltop Inn Pittsburgh,Hilltop Inn,"{'lat': 40.4503947, 'lng': -80.1058173}",1,1,0,0,0,0,0,18,7,0
MainStay Suites Pittsburgh Airport,MainStay Suites Pittsburgh Airport,"{'lat': 40.4554753, 'lng': -80.1910231}",1,0,0,0,0,0,0,18,10,0
Pittsburgh Airport Marriott,Pittsburgh Airport Marriott,"{'lat': 40.4603378, 'lng': -80.1928557}",0,1,0,0,0,0,0,18,11,0
SpringHill Suites by Marriott Pittsburgh Bakery Square,SpringHill Suites by Marriott Pittsburgh Bakery Square,"{'lat': 40.4565929, 'lng': -79.91486499999999}",1,0,1,0,1,1,0,18,4,0
Quality Inn & Suites,The Quay Hotel West Coast,"{'lat': 1.2922982, 'lng': 103.7686088}",2,1,1,0,0,0,2,18,5,0
Extended Stay America,Ascott Raffles Place Singapore,"{'lat': 1.2820375, 'lng': 103.85158}",2,0,2,0,1,0,0,18,6,0
Comfort Inn,Comfort Hotel,"{'lat': 1.3086435, 'lng': 103.8549386}",2,0,0,0,0,0,0,18,17,0
"Home2 Suites by Hilton Pittsburgh / McCandless, PA","Home2 Suites by Hilton Pittsburgh / McCandless, PA","{'lat': 40.5616613, 'lng': -80.02705069999999}",1,1,0,0,0,0,0,18,1,0
Sonesta Simply Suites Pittsburgh Airport,Sonesta Simply Suites Pittsburgh Airport,"{'lat': 40.4490841, 'lng': -80.18300099999999}",1,1,0,0,0,0,0,18,9,0
Hyatt Place Pittsburgh Airport/robinson Mall,Hyatt Place Pittsburgh Airport / Robinson Mall,"{'lat': 40.4458859, 'lng': -80.1608473}",1,0,0,0,0,0,0,18,10,0
Holiday Inn Express Pittsburgh-Bridgeville,"Holiday Inn Express Pittsburgh-Bridgeville, an IHG Hotel","{'lat': 40.3522677, 'lng': -80.11268559999999}",0,1,0,0,0,0,0,18,1,0
"The Industrialist Hotel, Pittsburgh, Autograph Collection","The Industrialist Hotel, Pittsburgh, Autograph Collection","{'lat': 40.4395984, 'lng': -80.0014058}",0,0,0,0,0,0,0,18,17,0
Courtyard Pittsburgh Downtown,Courtyard by Marriott Pittsburgh Downtown,"{'lat': 40.4443245, 'lng': -79.99647120000002}",0,0,0,0,0,0,0,18,17,0
Courtyard Pittsburgh Airport Settlers Ridge,Courtyard by Marriott Pittsburgh Airport Settlers Ridge,"{'lat': 40.4389533, 'lng': -80.1517385}",1,0,0,0,0,0,0,18,12,0
Fairfield Inn & Suites Pittsburgh North/McCandless Crossing,Fairfield by Marriott Chow Kit Kuala Lumpur,"{'lat': 3.1689227, 'lng': 101.6981122}",1,0,0,0,1,0,0,18,17,0
Residence Inn Pittsburgh North Shore,Residence Inn by Marriott Pittsburgh North Shore,"{'lat': 40.4479064, 'lng': -80.00721039999999}",0,0,0,0,0,0,0,18,17,0
Economy Inn,Economy Inn,"{'lat': 44.0006676, 'lng': -124.1024628}",4,0,0,0,1,0,0,18,10,0
Super 8 By Wyndham Pittsburgh Airport/Coraopolis Area,Super 8 by Wyndham Pittsburgh Airport/Coraopolis Area,"{'lat': 40.5037878, 'lng': -80.2218208}",2,1,0,0,1,0,0,18,8,0
Sleep Inn & Suites,Pasir Panjang Inn,"{'lat': 1.2920011, 'lng': 103.7701795}",2,1,1,0,0,0,2,18,5,0
Days Inn by Wyndham Pittsburgh-Harmarville,Days Inn by Wyndham Pittsburgh-Harmarville,"{'lat': 40.5402163, 'lng': -79.8297801}",2,0,1,0,2,0,0,18,5,0
Hampton Inn Pittsburgh Airport,Hampton Inn Pittsburgh-Airport,"{'lat': 40.5079846, 'lng': -80.22437719999999}",1,1,0,0,1,0,0,18,8,0
Nash Haus Hotel,Nashhaus,"{'lat': 36.1506109, 'lng': -86.6776982}",0,0,0,0,0,0,0,18,17,0
The Hayes Street Hotel in Nashville,The Hayes Street Hotel Nashville,"{'lat': 36.1528985, 'lng': -86.79876019999999}",0,0,0,0,0,0,0,18,18,0
Waymore's Guest House and Casual club,Waymore's Guest House & Casual Club,"{'lat': 36.175936, 'lng': -86.757756}",0,0,0,0,0,0,0,18,18,0
La Quinta Inn & Suites by Wyndham Nashville Airport/Opryland,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
Sonesta Nashville Airport,Sonesta Nashville Airport,"{'lat': 36.145948, 'lng': -86.69306329999999}",0,0,0,0,0,0,0,18,17,0
Loews Vanderbilt Hotel,Loews Nashville Hotel at Vanderbilt Plaza,"{'lat': 36.1505973, 'lng': -86.8019628}",0,0,0,0,0,0,0,18,18,0
Cambria Hotel Nashville Downtown,Cambria Hotel Nashville Downtown,"{'lat': 36.1577415, 'lng': -86.7809753}",0,0,0,0,0,0,0,18,18,0
La Quinta Inn by Wyndham Nashville South,La Quinta Inn by Wyndham Nashville South,"{'lat': 36.0841667, 'lng': -86.76250000000002}",0,0,1,0,0,0,0,18,3,0
Renaissance Nashville Hotel,Renaissance Nashville Hotel,"{'lat': 36.1607971, 'lng': -86.7811329}",0,0,0,0,0,0,0,18,18,0
Fairlane Hotel,"Fairlane Hotel Nashville, by Oliver","{'lat': 36.1648024, 'lng': -86.7799323}",0,0,0,0,0,0,0,18,18,0
Baymont by Wyndham Nashville Airport/ Briley,Baymont by Wyndham Nashville,"{'lat': 36.1538442, 'lng': -86.6851988}",0,0,0,0,0,0,0,18,18,0
Noelle,Noelle's Grandma,"{'lat': 1.348569, 'lng': 103.8495696}",2,1,1,1,0,0,1,18,6,0
Millennium Maxwell House Nashville,Millennium Maxwell House Hotel Nashville,"{'lat': 36.1893579, 'lng': -86.7998283}",0,0,0,0,0,0,0,18,18,0
"Knights Inn - Nashville, TN",Knights Inn Nashville,"{'lat': 36.1765108, 'lng': -86.7756751}",0,0,0,0,0,0,0,18,18,0
Club - Hotel Nashville Inn and Suites,Club-Hotel Nashville,"{'lat': 36.1598556, 'lng': -86.6908972}",0,0,0,0,0,0,0,18,18,0
Holiday Inn Nashville-Vanderbilt - Downtown,"Holiday Inn Nashville-Vanderbilt (Dwtn), an IHG Hotel","{'lat': 36.144833, 'lng': -86.81086499999999}",0,0,0,0,0,0,0,18,18,0
Rodeway Inn,Rodeway Inn,"{'lat': 47.44748680000001, 'lng': -122.2940826}",1,0,0,0,0,0,0,18,18,0
Residence Inn by Marriott Nashville Downtown/Convention Center,Residence Inn by Marriott Nashville Downtown/Convention Center,"{'lat': 36.1561173, 'lng': -86.7752453}",0,0,0,0,0,0,0,18,18,0
Comfort Inn Downtown Nashville - Music City Center,Comfort Inn Downtown Nashville - Music City Center,"{'lat': 36.1526125, 'lng': -86.7887591}",0,0,0,0,0,0,0,18,18,0
Hilton Garden Inn Nashville West End Avenue,Hilton Garden Inn Nashville West End Avenue,"{'lat': 36.1392091, 'lng': -86.8213724}",0,0,0,0,0,0,0,18,18,0
Ramada by Wyndham Nashville/Music Valley,Ramada by Wyndham Nashville/Music Valley,"{'lat': 36.2190084, 'lng': -86.6949346}",1,1,1,0,0,0,0,18,11,0
Days Inn by Wyndham Nashville Saint Thomas West Hospital,Days Inn by Wyndham Nashville Saint Thomas West Hospital,"{'lat': 36.1437668, 'lng': -86.85802819999999}",2,0,3,0,1,0,1,18,8,2
La Quinta Inn & Suites by Wyndham Nashville Airport,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
Fiddler's Inn,Fiddler's Inn Pub & Pizza,"{'lat': 47.6964108, 'lng': -122.2908559}",1,1,0,0,0,2,0,18,7,0
Radisson Hotel Nashville Airport,Radisson Hotel Nashville Airport,"{'lat': 36.1439742, 'lng': -86.66473529999999}",0,0,0,0,0,0,0,18,17,0
GLō Best Western Nashville,GLō Best Western Nashville,"{'lat': 36.1375237, 'lng': -86.7017264}",0,0,0,0,0,0,0,18,17,0
AC Hotel Nashville Downtown,AC Hotel by Marriott Nashville Downtown,"{'lat': 36.1561647, 'lng': -86.7752955}",0,0,0,0,0,0,0,18,18,0
Hyatt House Nashville/vanderbilt,Hyatt House Nashville At Vanderbilt,"{'lat': 36.1515628, 'lng': -86.8023302}",0,0,0,0,0,0,0,18,18,0
1 Hotel Nashville,1 Hotel Nashville,"{'lat': 36.1571152, 'lng': -86.7807304}",0,0,0,0,0,0,0,18,18,0
"Country Inn & Suites by Radisson, Nashville, TN",Country Inn,"{'lat': 1.643226, 'lng': 103.6190057}",0,1,0,0,0,0,1,18,11,0
Sentral SoBro,Sentral SoBro Apartments,"{'lat': 36.1537644, 'lng': -86.7752556}",0,0,0,0,0,0,0,18,18,0
Country Inn & Suites by Radisson Nashville Airport TN,Country Inn,"{'lat': 1.643226, 'lng': 103.6190057}",0,1,0,0,0,0,1,18,11,0
Placemakr Premier SoBro,"Placemakr Premier SoBro, Nashville","{'lat': 36.1597331, 'lng': -86.7740748}",0,0,0,0,0,0,0,18,18,0
Tru By Hilton Nashville Downtown Convention Center,Tru By Hilton Nashville Downtown Convention Center,"{'lat': 36.1554859, 'lng': -86.7748354}",0,0,0,0,0,0,0,18,18,0
Dream Nashville,"Dream Nashville, by Hyatt","{'lat': 36.1641107, 'lng': -86.7790899}",0,0,0,0,0,0,0,18,18,0
Sheraton Grand Nashville Downtown,Sheraton Grand Nashville Downtown,"{'lat': 36.16309, 'lng': -86.7828902}",0,0,0,0,0,0,0,18,18,0
Holiday Inn & Suites Nashville Downtown – Broadway,"Holiday Inn Singapore Atrium, an IHG Hotel","{'lat': 1.2890076, 'lng': 103.8342013}",5,0,0,0,0,0,0,18,8,0
Hampton Inn and Suites Nashville Downtown,Hampton Inn & Suites Nashville-Downtown,"{'lat': 36.1575235, 'lng': -86.7746006}",0,0,0,0,0,0,0,18,18,0
Gaylord Opryland Resort & Convention Center,Gaylord Opryland Resort & Convention Center,"{'lat': 36.2122412, 'lng': -86.6946459}",1,1,1,0,0,0,0,18,11,0
Hilton Garden Inn Nashville Vanderbilt,Hilton Garden Inn Nashville Vanderbilt,"{'lat': 36.1521699, 'lng': -86.79490489999999}",0,0,0,0,0,0,0,18,18,0
Cambria Hotel Nashville Midtown,Cambria Hotel Nashville Midtown,"{'lat': 36.1567201, 'lng': -86.79461169999999}",0,0,0,0,0,0,0,18,18,0
Brentwood Studio Plus,Brentwood Studioplus,"{'lat': 36.0330263, 'lng': -86.77925859999999}",1,0,0,0,0,0,0,18,9,0
Placemakr Music Row,"Placemakr Music Row, Nashville","{'lat': 36.1532248, 'lng': -86.79249209999999}",0,0,0,0,0,0,0,18,18,0
Drury Inn & Suites Nashville Airport,Drury Inn & Suites San Antonio Near La Cantera Pkwy,"{'lat': 29.5890446, 'lng': -98.6003494}",1,0,1,0,1,0,0,18,12,0
Red Roof PLUS+ Nashville Fairgrounds,Red Roof PLUS+ Nashville Fairgrounds,"{'lat': 36.0862404, 'lng': -86.7622988}",0,0,1,0,0,0,0,18,2,0
Virgin Hotels Nashville,Virgin Hotels Nashville,"{'lat': 36.1517323, 'lng': -86.7931249}",0,0,0,0,0,0,0,18,18,0
Bobby Hotel Nashville,Bobby Hotel,"{'lat': 36.1645558, 'lng': -86.7792795}",0,0,0,0,0,0,0,18,18,0
Graduate Nashville,Graduate Nashville,"{'lat': 36.151466, 'lng': -86.7997672}",0,0,0,0,0,0,0,18,18,0
Best Western Plus Nashville Airport,Best Western Plus Nashville Airport Hotel,"{'lat': 36.1462783, 'lng': -86.6634299}",0,0,0,0,0,0,0,18,17,0
Red Roof Inn Nashville - Music City,Red Roof Inn Nashville - Music City,"{'lat': 36.2103269, 'lng': -86.77715719999999}",4,0,0,1,1,0,0,18,9,0
Hyatt Place Nashville Airport,Hyatt Place Nashville Airport,"{'lat': 36.1463025, 'lng': -86.66429579999999}",0,0,0,0,0,0,0,18,17,0
SpringHill Suites by Marriott Nashville Downtown/Convention Center,SpringHill Suites by Marriott Nashville Downtown/Convention Center,"{'lat': 36.1559429, 'lng': -86.77521759999999}",0,0,0,0,0,0,0,18,18,0
Cambria Hotel Nashville Airport,Cambria Hotel Nashville Airport,"{'lat': 36.1447289, 'lng': -86.67617829999999}",0,0,0,0,0,0,0,18,17,0
Hilton Nashville Airport,Hilton Nashville Airport,"{'lat': 36.1536994, 'lng': -86.6904733}",0,0,0,0,0,0,0,18,18,0
Lotus Inn and Suites Nashville,Lotus Inn and Suites Nashville,"{'lat': 36.1538447, 'lng': -86.6276705}",0,0,0,0,0,0,0,18,16,0
DoubleTree by Hilton Hotel Nashville Downtown,DoubleTree by Hilton Hotel Nashville Downtown,"{'lat': 36.1654255, 'lng': -86.78050830000001}",0,0,0,0,0,0,0,18,18,0
The Westin Nashville,The Westin Nashville,"{'lat': 36.1551478, 'lng': -86.78074079999999}",0,0,0,0,0,0,0,18,18,0
Days Inn by Wyndham Joelton/Nashville,Days Inn by Wyndham Joelton/Nashville,"{'lat': 36.3228339, 'lng': -86.8673948}",2,0,0,0,0,0,0,18,1,0
Alexis Inn and Suites Hotel,Alexis Inn and Suites Nashville,"{'lat': 36.1525814, 'lng': -86.68732659999999}",0,0,0,0,0,0,0,18,17,0
Element Nashville Vanderbilt West End,Element Nashville Vanderbilt West End,"{'lat': 36.152232, 'lng': -86.819257}",0,0,0,0,0,0,0,18,18,0
Days Inn by Wyndham Airport Nashville East,Days Inn by Wyndham Nashville Airport,"{'lat': 36.1530339, 'lng': -86.6266495}",0,0,0,0,0,0,0,18,16,0
Wyndham Vacation Resorts - Nashville,Club Wyndham Nashville,"{'lat': 36.2200209, 'lng': -86.7047055}",1,1,1,0,0,0,0,18,12,0
"Home2 Suites by Hilton Nashville Vanderbilt, TN","Home2 Suites by Hilton Nashville Vanderbilt, TN","{'lat': 36.1515853, 'lng': -86.7944115}",0,0,0,0,0,0,0,18,18,0
Hilton Nashville Downtown,Hilton Nashville Downtown,"{'lat': 36.1600155, 'lng': -86.7772394}",0,0,0,0,0,0,0,18,18,0
Home2 Suites by Hilton Nashville Downtown Convention Center,Home2 Suites by Hilton Nashville Downtown Convention Center,"{'lat': 36.1554294, 'lng': -86.7746873}",0,0,0,0,0,0,0,18,18,0
Best Western Plus Executive Residency Nashville,Best Western Plus Executive Residency Nashville,"{'lat': 36.209303, 'lng': -86.7769947}",4,0,0,1,1,0,0,18,11,0
Staybridge Suites Nashville - Vanderbilt,"Staybridge Suites Nashville - Midtown, an IHG Hotel","{'lat': 36.15611500000001, 'lng': -86.80606999999999}",0,0,0,0,0,0,0,18,18,0
The Hermitage Hotel,The Hermitage Hotel,"{'lat': -43.7327323, 'lng': 170.093325}",1,0,4,1,0,0,2,18,7,1
