Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Floridian Express Hotel,5.0 out of 10,"2,023 verified reviews",4.8/10,5.8/10,4.8/10,4.6/10,5.2/10
Universal’s Loews Portofino Bay Hotel,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.2/10,9.0/10,9.0/10,8.8/10
Waldorf Astoria Orlando,8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,8.8/10
JW Marriott Orlando Bonnet Creek Resort & Spa,9.2 out of 10 Wonderful,351 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.6/10
Super 8 by Wyndham Orlando International Drive,5.8 out of 10,"1,000 verified reviews",5.6/10,6.8/10,5.6/10,5.4/10,6.0/10
Sheraton Orlando Lake Buena Vista Resort,7.2 out of 10 Good,"1,092 verified reviews",7.4/10,7.6/10,7.2/10,7.0/10,7.4/10
Orlando World Center Marriott,8.2 out of 10 Very good,"1,005 verified reviews",9.0/10,8.4/10,8.4/10,8.6/10,8.8/10
Extended Stay America Select Suites - Orlando - East,5.2 out of 10,520 verified reviews,5.4/10,6.2/10,4.8/10,5.4/10,4.4/10
Stayable Suites Orlando,4.6 out of 10,453 verified reviews,4.4/10,5.2/10,4.4/10,4.4/10,4.6/10
Marriott's Lakeshore Reserve,9.6 out of 10 Exceptional,195 verified reviews,9.8/10,9.4/10,9.8/10,9.6/10,10.0/10
Quality Inn Orlando-Near Universal Blvd,4.2 out of 10,"1,010 verified reviews",4.2/10,5.4/10,4.2/10,3.8/10,4.4/10
"Motel 6 Orlando, FL - International Dr",5.4 out of 10,"1,001 verified reviews",5.4/10,6.8/10,5.2/10,5.2/10,5.4/10
JW Marriott Orlando Grande Lakes,9.0 out of 10 Wonderful,"1,004 verified reviews",9.2/10,9.0/10,9.0/10,9.2/10,9.0/10
Executive 3 Br Villa @Universal / Vista Cay/Conv.Center,9.0 out of 10 Wonderful,36 verified reviews,9.0/10,9.2/10,9.0/10,8.8/10,10.0/10
HomeTowne Studios by Red Roof Orlando South,3.8 out of 10,"1,000 verified reviews",3.8/10,5.0/10,3.8/10,3.8/10,4.4/10
Quality Inn At International Drive,6.4 out of 10 Good,"1,802 verified reviews",6.4/10,7.0/10,6.2/10,6.0/10,6.6/10
Monumental Hotel Orlando,7.0 out of 10 Good,"1,321 verified reviews",6.8/10,7.6/10,6.2/10,6.2/10,6.8/10
Hilton Garden Inn Winter Park,9.2 out of 10 Wonderful,319 verified reviews,9.6/10,9.2/10,8.8/10,9.6/10,9.2/10
Homewood Suites by Hilton Orlando-Maitland,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.4/10,9.0/10,9.2/10,8.6/10
Sheraton Orlando North Hotel,8.0 out of 10 Very good,"1,003 verified reviews",8.2/10,8.4/10,7.8/10,8.0/10,8.0/10
Days Inn by Wyndham N Orlando/Casselberry,5.4 out of 10,"1,004 verified reviews",5.6/10,6.0/10,5.2/10,5.4/10,5.4/10
Hilton Orlando/Altamonte Springs,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.8/10
Regency Inn,4.8 out of 10,65 verified reviews,4.8/10,5.0/10,4.0/10,4.6/10,4.0/10
Extended Stay America Suites Orlando Altamonte Springs,6.8 out of 10 Good,"1,002 verified reviews",7.2/10,7.6/10,6.4/10,6.8/10,6.6/10
Baymont by Wyndham Altamonte Springs,5.4 out of 10,188 verified reviews,5.4/10,6.0/10,4.4/10,5.0/10,5.0/10
Opal Hotel & Suites,6.0 out of 10 Good,892 verified reviews,5.6/10,7.2/10,5.8/10,5.6/10,6.0/10
Embassy Suites by Hilton Orlando North,8.0 out of 10 Very good,"1,004 verified reviews",8.0/10,8.4/10,8.0/10,7.6/10,7.8/10
Hampton Inn & Suites Orlando-North/Altamonte Springs,9.2 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.4/10,9.2/10,9.4/10,9.2/10
Residence Inn Orlando Altamonte Springs/Maitland,8.6 out of 10 Excellent,568 verified reviews,8.8/10,9.0/10,8.4/10,8.2/10,8.0/10
HomeTowne Studios by Red Roof Orlando - Casselberry,4.6 out of 10,"1,004 verified reviews",4.6/10,6.0/10,4.6/10,4.6/10,4.6/10
Altamonte Springs Hotel and Suites,3.8 out of 10,636 verified reviews,3.8/10,5.0/10,3.4/10,3.6/10,3.6/10
OYO Townhouse Orlando West,6.8 out of 10 Good,"1,000 verified reviews",7.0/10,7.4/10,6.0/10,6.6/10,5.8/10
"Holiday Inn Express Hotel & Suites Orlando - Apopka, an IHG Hotel",8.8 out of 10 Excellent,893 verified reviews,9.2/10,9.2/10,8.8/10,9.2/10,9.0/10
Hampton Inn & Suites Orlando-Apopka,9.2 out of 10 Wonderful,988 verified reviews,9.4/10,9.4/10,9.0/10,9.4/10,9.0/10
Hilton Garden Inn Apopka City Center,9.4 out of 10 Exceptional,491 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.6/10
Days Inn by Wyndham Apopka/Orlando,6.8 out of 10 Good,292 verified reviews,7.0/10,7.6/10,6.2/10,6.8/10,6.6/10
Edgewater Hotel,9.4 out of 10 Exceptional,265 verified reviews,9.6/10,9.8/10,9.4/10,9.2/10,9.4/10
DoubleTree Suites by Hilton Orlando - Disney Springs® Area,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.8/10,8.0/10,8.0/10
Drury Plaza Hotel Orlando - Disney Springs Area,9.8 out of 10 Exceptional,"1,628 verified reviews",9.8/10,9.8/10,9.8/10,9.8/10,9.6/10
Home Inn & Suites Orlando-Apopka,8.2 out of 10 Very good,65 verified reviews,8.6/10,8.8/10,8.2/10,8.6/10,8.4/10
Four Seasons Resort Orlando at WALT DISNEY WORLD® Resort,9.6 out of 10 Exceptional,769 verified reviews,9.8/10,9.8/10,9.8/10,9.8/10,9.6/10
Hampton Inn Kissimmee North,9.6 out of 10 Exceptional,108 verified reviews,10.0/10,9.8/10,9.6/10,10.0/10,9.8/10
"Holiday Inn Orlando - Disney Springs® Area, an IHG Hotel",9.0 out of 10 Wonderful,"1,695 verified reviews",9.0/10,9.2/10,8.6/10,8.8/10,8.8/10
Hilton Orlando Buena Vista Palace Disney Springs Area,8.0 out of 10 Very good,"1,281 verified reviews",8.2/10,8.4/10,8.4/10,8.0/10,8.2/10
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,7.8 out of 10 Good,"3,611 verified reviews",8.2/10,8.2/10,7.8/10,7.6/10,7.8/10
Hilton Orlando Lake Buena Vista - Disney Springs® Area,8.4 out of 10 Very good,"1,215 verified reviews",8.6/10,9.0/10,8.4/10,8.2/10,8.4/10
Hyatt Place Lake Mary/Orlando North,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
Courtyard by Marriott Orlando Lake Mary/North,8.0 out of 10 Very good,466 verified reviews,8.6/10,8.8/10,7.6/10,8.2/10,8.2/10
Homewood Suites by Hilton Lake Mary,8.6 out of 10 Excellent,765 verified reviews,8.6/10,9.0/10,8.0/10,8.4/10,8.2/10
Best Western Plus Kissimmee-Lake Buena Vista South Inn & Suites,7.4 out of 10 Good,"1,089 verified reviews",7.4/10,8.0/10,7.4/10,7.4/10,7.6/10
Hilton Garden Inn Lake Mary,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.2/10
Hampton Inn & Suites Orlando-South Lake Buena Vista,8.4 out of 10 Very good,"1,000 verified reviews",8.4/10,8.8/10,8.0/10,8.2/10,8.0/10
SpringHill Suites by Marriott Orlando Lake Buena Vista South,9.0 out of 10 Wonderful,"1,008 verified reviews",9.0/10,9.2/10,9.2/10,8.8/10,8.8/10
Embassy Suites by Hilton Orlando Lake Buena Vista South,9.2 out of 10 Wonderful,"1,638 verified reviews",9.2/10,9.2/10,9.2/10,9.4/10,9.0/10
Magic Key,8.0 out of 10 Very good,"1,010 verified reviews",8.2/10,8.2/10,7.2/10,7.8/10,7.8/10
Clarion Inn & Suites Kissimmee-Lake Buena Vista South,6.0 out of 10 Good,902 verified reviews,6.0/10,7.0/10,5.4/10,5.6/10,5.8/10
Palazzo Lakeside Hotel,7.8 out of 10 Good,"3,839 verified reviews",8.0/10,8.4/10,7.6/10,7.8/10,8.0/10
Hilton Vacation Club Polynesian Isles Kissimmee,9.8 out of 10 Exceptional,"1,584 verified reviews",9.8/10,10.0/10,9.8/10,9.8/10,9.2/10
Quality Inn,4.8 out of 10,"1,008 verified reviews",4.6/10,6.0/10,4.6/10,4.2/10,4.0/10
Orlando Vacation Rooms,8.4 out of 10 Very good,126 verified reviews,8.6/10,8.2/10,7.8/10,8.0/10,8.0/10
Comfort Inn Kissimmee-Lake Buena Vista South,7.6 out of 10 Good,"1,003 verified reviews",7.6/10,8.0/10,7.2/10,7.4/10,7.2/10
Legacy Vacation Resorts - Kissimmee/Orlando,7.8 out of 10 Good,"2,199 verified reviews",8.0/10,8.4/10,7.8/10,7.6/10,8.0/10
Stayable Suites Kissimmee West,7.4 out of 10 Good,44 verified reviews,7.8/10,7.4/10,7.6/10,7.6/10,7.8/10
Gaylord Palms Resort & Convention Center,8.8 out of 10 Excellent,"1,146 verified reviews",9.2/10,8.8/10,9.0/10,9.0/10,9.0/10
Walt Disney World Dolphin,8.4 out of 10 Very good,"3,837 verified reviews",8.8/10,8.6/10,8.6/10,8.6/10,8.4/10
Walt Disney World Swan,8.8 out of 10 Excellent,"1,530 verified reviews",9.0/10,9.0/10,8.8/10,9.0/10,8.8/10
"Motel 6 Kissimmee, FL - Orlando",7.4 out of 10 Good,"1,002 verified reviews",7.4/10,8.2/10,7.0/10,7.2/10,7.2/10
Walt Disney World Swan Reserve,9.2 out of 10 Wonderful,386 verified reviews,9.6/10,9.2/10,9.2/10,9.8/10,9.4/10
Best Western Plus Sanford Airport/Lake Mary Hotel,7.6 out of 10 Good,"1,051 verified reviews",7.4/10,8.2/10,7.2/10,7.0/10,7.6/10
"Holiday Inn & Suites Orlando SW - Celebration Area, an IHG Hotel",7.8 out of 10 Good,"1,361 verified reviews",7.8/10,8.0/10,7.8/10,7.4/10,8.2/10
RW Hotel,6.4 out of 10 Good,155 verified reviews,6.2/10,7.4/10,5.8/10,6.0/10,6.4/10
Grand Hotel Kissimmee at Celebration,7.4 out of 10 Good,794 verified reviews,7.6/10,8.0/10,7.6/10,7.4/10,7.4/10
Comfort Suites Maingate East,8.8 out of 10 Excellent,"1,737 verified reviews",8.6/10,9.0/10,8.8/10,8.6/10,8.6/10
Orlando Marriott Lake Mary,8.8 out of 10 Excellent,511 verified reviews,9.0/10,9.0/10,8.4/10,9.0/10,8.8/10
Residence Inn by Marriott Orlando Lake Mary,9.4 out of 10 Exceptional,205 verified reviews,9.6/10,9.6/10,9.2/10,9.4/10,9.4/10
Barefoot'n Resort,9.0 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.0/10,9.0/10,9.2/10,9.0/10
Fairfield Inn and Suites Orlando Kissimmee Celebration,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,8.6/10
Regal Oaks Resort Vacation Townhomes by IDILIQ,8.4 out of 10 Very good,"2,607 verified reviews",8.2/10,8.2/10,8.2/10,8.6/10,7.8/10
Hampton Inn & Suites Lake Mary At Colonial Townpark,9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,8.6/10
"The Westin Lake Mary, Orlando North",8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,9.0/10,8.6/10,9.2/10,9.0/10
Quality Inn & Suites Heritage Park,8.4 out of 10 Very good,"1,004 verified reviews",8.6/10,9.0/10,8.2/10,8.2/10,8.4/10
Meliá Orlando Celebration,8.4 out of 10 Very good,"1,429 verified reviews",8.8/10,8.8/10,8.4/10,8.4/10,8.6/10
Flamingo Express Hotel,7.2 out of 10 Good,"1,004 verified reviews",7.2/10,8.0/10,7.0/10,7.0/10,7.2/10
Flamingo Waterpark Resort,6.6 out of 10 Good,"1,048 verified reviews",6.6/10,7.2/10,6.4/10,6.2/10,6.6/10
Stayable Suites Kissimmee East,6.0 out of 10 Good,"1,002 verified reviews",6.0/10,7.0/10,5.8/10,5.8/10,5.0/10
Extended Stay America Premier Suites Orlando Sanford,8.6 out of 10 Excellent,647 verified reviews,9.2/10,8.8/10,8.0/10,9.0/10,8.8/10
SpringHill Suites Orlando at FLAMINGO CROSSINGS® Town Center/Western Entrance,9.2 out of 10 Wonderful,"1,584 verified reviews",9.2/10,9.2/10,9.2/10,9.2/10,9.0/10
Home2 Suites by Hilton Orlando at Flamingo Crossings,9.4 out of 10 Exceptional,"2,544 verified reviews",9.6/10,9.2/10,9.4/10,9.6/10,9.2/10
TownePlace Suites Orlando at FLAMINGO CROSSINGS® Town Center/Western Entrance,9.0 out of 10 Wonderful,"1,120 verified reviews",9.0/10,9.2/10,9.2/10,9.0/10,9.0/10
Homewood Suites by Hilton Orlando at Flamingo Crossings,9.4 out of 10 Exceptional,"1,053 verified reviews",9.6/10,9.2/10,9.4/10,9.6/10,9.2/10
Celebration Hotel,9.0 out of 10 Wonderful,707 verified reviews,9.2/10,9.0/10,8.4/10,9.0/10,8.6/10
"Holiday Inn Express & Suites Sanford- Lake Mary, an IHG Hotel",9.0 out of 10 Wonderful,484 verified reviews,9.4/10,9.2/10,9.2/10,9.4/10,9.4/10
"Wyndham Orlando Resort & Conference Center, Celebration Area",7.6 out of 10 Good,"1,467 verified reviews",8.0/10,8.0/10,7.6/10,7.6/10,8.0/10
WoodSpring Suites Sanford North I-4 Orlando Area,6.6 out of 10 Good,233 verified reviews,6.6/10,7.4/10,6.0/10,6.8/10,6.8/10
Comfort Inn & Suites Orlando North,9.0 out of 10 Wonderful,"1,006 verified reviews",9.2/10,9.4/10,8.8/10,8.8/10,8.6/10
Park Place Inn and Cottages,9.4 out of 10 Exceptional,296 verified reviews,9.4/10,9.4/10,9.0/10,9.2/10,9.0/10
Ramada by Wyndham Kissimmee Gateway,7.2 out of 10 Good,"5,647 verified reviews",7.2/10,7.4/10,7.2/10,6.8/10,7.2/10
Quality Inn & Suites Kissimmee by The Lake,7.8 out of 10 Good,"1,532 verified reviews",8.0/10,8.4/10,7.8/10,7.6/10,7.8/10
Orbit One Vacation Villas,9.4 out of 10 Exceptional,"1,352 verified reviews",9.4/10,9.4/10,9.2/10,9.2/10,9.2/10
Quality Inn & Suites By the Parks,8.4 out of 10 Very good,"1,006 verified reviews",8.4/10,9.0/10,8.2/10,8.0/10,8.2/10
"Holiday Inn Club Vacations at Orange Lake Resort, an IHG Hotel",8.4 out of 10 Very good,"1,360 verified reviews",8.8/10,8.6/10,9.0/10,8.8/10,8.6/10
Hilton Vacation Club Mystic Dunes Orlando,8.8 out of 10 Excellent,"2,944 verified reviews",9.0/10,9.0/10,9.0/10,9.0/10,8.8/10
Hampton Inn & Suites Clermont,9.2 out of 10 Wonderful,598 verified reviews,9.4/10,9.4/10,9.0/10,9.2/10,9.2/10
Home2 Suites by Hilton Clermont,8.8 out of 10 Excellent,513 verified reviews,9.0/10,9.0/10,9.0/10,9.2/10,9.0/10
Encantada Resort Vacation Townhomes by IDILIQ,8.6 out of 10 Excellent,"1,232 verified reviews",8.6/10,8.8/10,8.0/10,8.8/10,7.0/10
The Grove Resort & Water Park Orlando,8.2 out of 10 Very good,"5,089 verified reviews",8.4/10,8.4/10,8.6/10,8.4/10,8.4/10
Liki Tiki Village,8.6 out of 10 Excellent,"3,490 verified reviews",8.6/10,8.6/10,8.8/10,8.6/10,8.6/10
"Holiday Inn Express Clermont, an IHG Hotel",8.8 out of 10 Excellent,776 verified reviews,9.0/10,9.2/10,8.4/10,8.8/10,8.8/10
Hampton Inn Debary/Deltona,8.6 out of 10 Excellent,672 verified reviews,9.0/10,9.2/10,8.4/10,8.6/10,8.4/10
The Estate at Mount Dora,9.2 out of 10 Wonderful,286 verified reviews,9.6/10,9.6/10,8.6/10,9.0/10,8.8/10
Home2 Suites by Hilton Orlando South Davenport,9.6 out of 10 Exceptional,69 verified reviews,9.6/10,9.6/10,9.4/10,9.8/10,9.6/10
Lakeside Inn,8.4 out of 10 Very good,"1,059 verified reviews",8.6/10,8.8/10,8.0/10,8.0/10,8.2/10
The Heirloom Inn,8.6 out of 10 Excellent,164 verified reviews,9.2/10,8.6/10,8.4/10,8.8/10,9.2/10
Omni Orlando Resort at ChampionsGate,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,9.0/10,9.0/10,9.0/10
Hampton Inn Orlando-Maingate South,9.2 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,9.2/10,9.0/10,9.2/10
Rodeway Inn Davenport-Champions Gate,6.0 out of 10 Good,"1,000 verified reviews",6.0/10,6.8/10,5.4/10,5.6/10,5.6/10
Alhambra Villas,8.8 out of 10 Excellent,638 verified reviews,9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Hampton Inn Titusville/I-95 Kennedy Space Center,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.8/10
Days Inn by Wyndham Titusville Kennedy Space Center,7.8 out of 10 Good,"1,032 verified reviews",7.6/10,8.2/10,7.4/10,7.2/10,7.4/10
TownePlace Suites by Marriott Titusville Kennedy Space Center,9.4 out of 10 Exceptional,531 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
Fairfield by Marriott Titusville Kennedy Space Center,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,9.0/10,9.2/10,9.0/10
Quality Inn Kennedy Space Center,7.0 out of 10 Good,"1,004 verified reviews",7.0/10,7.8/10,6.8/10,6.6/10,6.8/10
Extended Stay America Premier Suites Titusville Space Center,8.2 out of 10 Very good,695 verified reviews,8.8/10,8.4/10,7.6/10,8.6/10,8.2/10
Best Western Space Shuttle Inn,6.8 out of 10 Good,"1,003 verified reviews",6.8/10,8.0/10,6.8/10,6.6/10,6.8/10
Courtyard by Marriott Titusville Kennedy Space Center,9.6 out of 10 Exceptional,355 verified reviews,9.8/10,9.6/10,9.6/10,9.8/10,9.6/10
Cypress Pointe Resort,9.0 out of 10 Wonderful,10 verified reviews,9.0/10,9.4/10,8.8/10,8.8/10,9.0/10
Westgate Lakes Resorts and Spa,7.6 out of 10 Good,34 verified reviews,8.4/10,8.4/10,8.4/10,8.0/10,8.0/10
"Holiday Inn Titusville-Kennedy Space Center, an IHG Hotel",8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.0/10,8.6/10,8.4/10
Seralago Hotel & Suites Main Gate East,5.2 out of 10,"5,088 verified reviews",4.8/10,6.2/10,5.2/10,4.6/10,5.0/10
